y_qlow,y_qup,y_test
4.43,5.0,4.67
4.46,5.0,5.0
4.25,5.0,5.0
4.15,5.0,5.0
4.32,5.0,5.0
4.46,5.0,5.0
4.47,5.0,5.0
4.24,5.0,5.0
4.25,5.0,4.0
4.48,5.0,5.0
4.47,5.0,5.0
4.25,5.0,5.0
4.46,5.0,5.0
1.0,2.9,2.67
4.49,5.0,5.0
4.21,5.0,4.33
4.25,5.0,5.0
4.48,5.0,5.0
4.47,5.0,5.0
4.45,5.0,5.0
4.25,5.0,5.0
4.48,5.0,4.67
4.25,5.0,5.0
4.43,5.0,5.0
4.33,5.0,5.0
4.49,5.0,5.0
4.25,5.0,5.0
4.17,5.0,5.0
4.3,5.0,5.0
4.49,5.0,5.0
1.0,5.0,5.0
4.4,5.0,5.0
4.39,5.0,5.0
1.0,5.0,2.67
4.4,5.0,4.67
4.21,5.0,5.0
4.25,5.0,5.0
4.25,5.0,4.33
3.58,5.0,5.0
4.46,5.0,5.0
4.35,5.0,5.0
4.47,5.0,5.0
4.46,5.0,5.0
4.47,5.0,5.0
4.25,5.0,2.0
4.39,5.0,5.0
1.0,2.79,4.33
4.3,5.0,5.0
4.25,5.0,5.0
4.35,5.0,5.0
4.48,5.0,5.0
4.23,5.0,5.0
4.48,5.0,5.0
4.29,5.0,5.0
4.48,5.0,5.0
3.87,5.0,5.0
1.26,5.0,2.0
4.25,5.0,5.0
1.17,5.0,2.67
4.06,5.0,5.0
4.28,5.0,5.0
4.42,5.0,5.0
4.33,5.0,5.0
4.24,5.0,5.0
4.46,5.0,5.0
4.26,5.0,5.0
4.41,5.0,5.0
4.25,5.0,5.0
4.25,5.0,5.0
4.25,5.0,5.0
4.46,5.0,5.0
4.25,5.0,2.33
4.46,5.0,5.0
4.25,5.0,2.0
3.96,5.0,5.0
4.32,5.0,5.0
4.46,5.0,5.0
4.22,5.0,5.0
4.41,5.0,5.0
4.45,5.0,5.0
4.25,5.0,4.67
3.98,5.0,1.67
4.27,5.0,5.0
4.24,5.0,5.0
4.19,5.0,5.0
4.5,5.0,5.0
4.16,5.0,1.67
4.46,5.0,5.0
4.33,5.0,5.0
4.48,5.0,5.0
4.14,5.0,5.0
4.46,5.0,5.0
4.25,5.0,5.0
4.46,5.0,5.0
4.35,5.0,5.0
4.23,5.0,2.67
3.56,5.0,4.0
4.29,5.0,5.0
4.35,5.0,5.0
4.46,5.0,5.0
4.47,5.0,5.0
3.97,5.0,4.67
4.47,5.0,5.0
4.47,5.0,5.0
4.48,5.0,5.0
4.25,5.0,5.0
3.99,5.0,2.33
4.48,5.0,5.0
4.47,5.0,5.0
4.39,5.0,4.67
4.47,5.0,5.0
4.25,5.0,5.0
4.41,5.0,5.0
4.07,5.0,4.67
4.35,5.0,5.0
4.03,5.0,5.0
4.45,5.0,5.0
4.47,5.0,5.0
4.46,5.0,5.0
4.22,5.0,4.67
4.48,5.0,5.0
4.25,5.0,5.0
4.1,5.0,5.0
4.41,5.0,5.0
4.45,5.0,5.0
4.37,5.0,5.0
4.46,5.0,5.0
4.25,5.0,5.0
4.31,5.0,5.0
4.0,5.0,5.0
4.46,5.0,5.0
4.41,5.0,5.0
4.25,5.0,5.0
4.4,5.0,5.0
4.46,5.0,5.0
4.48,5.0,5.0
1.09,5.0,2.33
1.31,5.0,5.0
4.47,5.0,5.0
4.25,5.0,1.33
4.48,5.0,5.0
4.31,5.0,5.0
4.14,5.0,1.33
4.48,5.0,5.0
4.07,5.0,5.0
4.23,5.0,5.0
3.97,5.0,2.67
4.32,5.0,5.0
4.36,5.0,5.0
4.39,5.0,5.0
4.43,5.0,5.0
4.51,5.0,5.0
4.33,5.0,5.0
4.41,5.0,5.0
4.25,5.0,5.0
4.25,5.0,5.0
4.46,5.0,5.0
4.36,5.0,5.0
4.44,5.0,5.0
4.25,5.0,5.0
4.46,5.0,5.0
4.25,5.0,4.33
4.13,5.0,5.0
4.42,5.0,5.0
4.47,5.0,5.0
4.47,5.0,5.0
4.33,5.0,5.0
3.97,5.0,5.0
4.47,5.0,5.0
4.47,5.0,5.0
4.25,5.0,5.0
4.34,5.0,5.0
3.98,5.0,5.0
1.0,2.88,5.0
4.24,5.0,1.67
4.44,5.0,5.0
1.0,5.0,5.0
4.25,5.0,5.0
4.44,5.0,2.0
3.96,5.0,4.33
4.48,5.0,5.0
4.47,5.0,5.0
4.45,5.0,5.0
4.4,5.0,5.0
4.25,5.0,5.0
4.47,5.0,5.0
4.48,5.0,5.0
3.92,5.0,5.0
4.38,5.0,5.0
4.33,5.0,5.0
4.15,5.0,5.0
4.35,5.0,5.0
1.0,2.81,5.0
4.39,5.0,5.0
3.98,5.0,5.0
4.47,5.0,5.0
1.23,5.0,2.67
4.46,5.0,5.0
4.3,5.0,5.0
3.94,5.0,5.0
4.31,5.0,5.0
4.51,5.0,5.0
4.49,5.0,5.0
4.5,5.0,5.0
1.13,5.0,5.0
1.29,5.0,4.33
4.25,5.0,5.0
4.34,5.0,1.67
4.31,5.0,5.0
4.25,5.0,5.0
4.31,5.0,5.0
4.25,5.0,5.0
4.01,5.0,2.67
4.44,5.0,5.0
4.33,5.0,5.0
4.25,5.0,4.33
3.92,5.0,5.0
4.46,5.0,5.0
1.0,2.78,1.67
4.47,5.0,5.0
4.22,5.0,5.0
4.47,5.0,4.67
4.49,5.0,5.0
4.47,5.0,5.0
4.15,5.0,4.67
4.47,5.0,5.0
4.25,5.0,5.0
4.25,5.0,5.0
4.47,5.0,5.0
4.35,5.0,5.0
4.47,5.0,5.0
4.35,5.0,5.0
3.92,5.0,5.0
3.94,5.0,5.0
4.46,5.0,5.0
4.48,5.0,5.0
4.25,5.0,5.0
4.46,5.0,5.0
4.47,5.0,5.0
4.47,5.0,5.0
4.48,5.0,5.0
4.47,5.0,5.0
4.48,5.0,5.0
4.1,5.0,5.0
4.23,5.0,5.0
4.31,5.0,5.0
1.0,2.87,1.67
4.5,5.0,5.0
4.49,5.0,5.0
4.32,5.0,5.0
3.89,5.0,4.67
1.31,5.0,2.0
4.25,5.0,5.0
4.46,5.0,5.0
4.47,5.0,5.0
4.37,5.0,5.0
4.46,5.0,5.0
4.46,5.0,5.0
4.45,5.0,5.0
4.47,5.0,5.0
3.97,5.0,5.0
4.44,5.0,5.0
4.25,5.0,5.0
4.46,5.0,5.0
4.46,5.0,5.0
1.18,5.0,2.0
4.46,5.0,5.0
4.48,5.0,5.0
4.25,5.0,5.0
4.06,5.0,5.0
4.25,5.0,1.33
4.48,5.0,5.0
4.25,5.0,5.0
4.39,5.0,4.33
4.48,5.0,5.0
4.49,5.0,5.0
4.27,5.0,4.67
4.49,5.0,5.0
4.12,5.0,5.0
1.0,2.85,2.33
4.44,5.0,5.0
4.47,5.0,5.0
4.45,5.0,5.0
4.31,5.0,5.0
4.19,5.0,5.0
4.21,5.0,5.0
4.46,5.0,5.0
4.27,5.0,5.0
4.25,5.0,5.0
4.25,5.0,5.0
4.3,5.0,5.0
4.24,5.0,5.0
4.25,5.0,5.0
4.45,5.0,5.0
4.49,5.0,5.0
4.47,5.0,5.0
4.25,5.0,5.0
4.44,5.0,5.0
4.25,5.0,5.0
4.01,5.0,5.0
4.44,5.0,4.67
4.46,5.0,5.0
4.25,5.0,5.0
4.38,5.0,5.0
1.0,2.87,5.0
4.46,5.0,5.0
4.1,5.0,5.0
4.25,5.0,5.0
4.33,5.0,5.0
4.43,5.0,5.0
4.49,5.0,5.0
4.4,5.0,5.0
4.25,5.0,5.0
4.07,5.0,1.67
4.44,5.0,5.0
4.47,5.0,5.0
4.17,5.0,5.0
4.48,5.0,5.0
4.2,5.0,5.0
4.46,5.0,4.33
4.51,5.0,4.33
3.99,5.0,5.0
4.46,5.0,5.0
4.47,5.0,5.0
4.49,5.0,5.0
4.14,5.0,5.0
4.43,5.0,2.67
4.47,5.0,5.0
4.44,5.0,5.0
4.27,5.0,4.67
1.52,5.0,1.33
4.45,5.0,5.0
4.25,5.0,5.0
4.46,5.0,5.0
4.48,5.0,5.0
4.3,5.0,5.0
4.45,5.0,5.0
4.11,5.0,2.33
4.24,5.0,5.0
4.48,5.0,5.0
4.46,5.0,5.0
4.3,5.0,4.67
1.21,5.0,2.0
4.47,5.0,5.0
4.02,5.0,1.67
4.3,5.0,5.0
4.45,5.0,5.0
1.18,5.0,1.67
4.34,5.0,5.0
4.25,5.0,5.0
4.17,5.0,5.0
4.47,5.0,5.0
4.25,5.0,5.0
