low,up,y_test
1.0,5.0,5.0
1.0,5.0,5.0
1.0,2.8644195,5.0
1.0,2.7730286,2.0
1.0,5.0,5.0
1.0,5.0,2.0
1.0,3.2031543,1.0
1.0,5.0,5.0
1.0,2.8229215,2.0
1.0,5.0,5.0
1.0,5.0,5.0
1.0,5.0,5.0
1.0,2.9485912,1.0
1.0,5.0,4.0
1.0,5.0,2.0
1.0,2.6063757,2.0
1.0,5.0,5.0
1.0,5.0,2.0
1.0,5.0,5.0
1.0,5.0,5.0
1.0,2.9423766,5.0
1.0,5.0,5.0
1.0,3.0747423,2.0
1.0,2.6047359,5.0
1.0,2.9385,5.0
1.0,2.7447844,1.0
1.0,3.1055255,5.0
1.0,3.4242938,1.0
1.0,3.1094403,1.0
1.0,5.0,5.0
1.0,2.7971735,2.0
1.0,5.0,5.0
1.0,4.7930923,5.0
1.0,5.0,5.0
1.0,5.0,5.0
1.0,5.0,5.0
1.0,5.0,5.0
1.0,4.9816675,1.0
1.0,5.0,5.0
1.0,3.040862,2.0
1.0,3.2698216,2.0
1.0,2.694107,1.0
1.0,1.5098234,5.0
1.0,5.0,2.0
1.0,2.5998209,1.0
1.0,3.15309,5.0
1.0,5.0,5.0
1.0,5.0,5.0
1.0,5.0,5.0
1.0,2.899773,1.0
1.0,5.0,5.0
1.0,3.1500368,2.0
1.0,3.0591583,2.0
1.0,5.0,5.0
1.0,5.0,5.0
1.0,5.0,5.0
1.0,3.1992118,1.0
1.0,3.218945,1.0
1.0,2.9034417,1.0
1.0,5.0,5.0
1.0,2.5658379,2.0
1.0,2.6673744,5.0
1.0,5.0,5.0
1.039028,3.3005466,1.0
1.0,5.0,5.0
1.0,5.0,5.0
1.0,3.0860567,1.0
1.0,5.0,5.0
1.0,3.051154,2.0
1.0,3.6816473,4.0
1.0,2.6395147,5.0
1.0,2.5030951,2.0
1.0,2.6690743,5.0
1.0,5.0,5.0
1.0,5.0,1.0
1.0,5.0,2.0
1.0,2.8612204,2.0
1.0,3.848312,5.0
1.0,4.8170176,5.0
1.0,5.0,5.0
1.0,5.0,5.0
1.0,5.0,5.0
1.0,5.0,5.0
1.0,3.163999,5.0
1.0,3.112105,1.0
1.0,5.0,5.0
1.0,2.5901444,2.0
1.0,5.0,2.0
1.0,5.0,5.0
1.0,5.0,2.0
1.0,5.0,5.0
1.0,2.8378978,2.0
1.0,3.0057144,1.0
1.0,5.0,5.0
1.0,2.4510226,1.0
1.0,5.0,5.0
1.0,3.2309208,1.0
1.0,5.0,5.0
1.0,4.980904,5.0
1.0,5.0,2.0
