low,up,y_test
1.0,5.0,2.0
1.0,5.0,2.0
1.0,5.0,5.0
1.0,4.999865457692717,1.0
1.0,4.999865457692717,5.0
1.0,5.0,5.0
1.0,5.0,5.0
1.0,5.0,1.0
1.0,5.0,1.0
1.0,4.999865457692717,2.0
1.0,5.0,5.0
1.0,5.0,2.0
1.0,4.999865457692717,2.0
1.0,4.999865457692717,1.0
1.0,5.0,1.0
1.0,5.0,5.0
1.0,5.0,5.0
1.0,5.0,5.0
1.0,5.0,5.0
1.0,5.0,2.0
1.0,5.0,1.0
1.0,5.0,2.0
1.0,5.0,5.0
1.0,5.0,4.0
1.0,5.0,5.0
1.0,4.999865457692717,5.0
1.0,4.999865457692717,1.0
1.0,5.0,5.0
1.0,5.0,2.0
1.0,5.0,4.0
1.0,5.0,5.0
1.0,5.0,5.0
1.0,5.0,2.0
1.0,5.0,5.0
1.0,5.0,5.0
1.0,4.999865457692717,2.0
1.0,5.0,5.0
1.0,4.999865457692717,1.0
1.0,5.0,5.0
1.0,5.0,5.0
1.0,5.0,5.0
1.0,5.0,2.0
1.0,4.999865457692717,1.0
1.0,4.999865457692717,2.0
1.0,5.0,1.0
1.0,4.999865457692717,1.0
1.0,5.0,5.0
1.0,5.0,1.0
1.0,5.0,4.0
1.0,3.999892019091605,2.0
1.0,5.0,5.0
1.0,5.0,1.0
1.0,5.0,5.0
1.0,4.999865457692717,2.0
1.0,5.0,5.0
1.0,4.999865457692717,5.0
1.0,4.999865457692717,5.0
1.0,5.0,5.0
1.0,4.999865457692717,3.0
1.0,5.0,3.0
1.0,5.0,5.0
1.0,5.0,1.0
1.0,5.0,5.0
1.0,4.999865457692717,2.0
1.0,4.999865457692717,1.0
1.0,5.0,2.0
1.0,4.999865457692717,2.0
1.0,5.0,5.0
1.0,3.999892019091605,1.0
1.0,5.0,5.0
1.0,5.0,5.0
1.0,4.999865457692717,2.0
1.0,5.0,5.0
1.0,4.999865457692717,5.0
1.0,5.0,5.0
1.0,5.0,5.0
1.0,5.0,2.0
1.0,5.0,5.0
1.0,5.0,5.0
1.0,5.0,5.0
1.0,5.0,5.0
1.0,5.0,5.0
1.0,4.999865457692717,1.0
1.0,5.0,5.0
1.0,5.0,5.0
1.0,5.0,5.0
1.0,5.0,5.0
1.0,3.999892019091605,1.0
1.0,3.999892019091605,5.0
1.0,4.999865457692717,5.0
1.0,4.999865457692717,5.0
1.0,5.0,5.0
1.0,5.0,1.0
1.0,4.999865457692717,2.0
1.0,4.999865457692717,1.0
1.0,5.0,5.0
1.0,5.0,5.0
1.0,5.0,5.0
1.0,3.999892019091605,1.0
1.0,5.0,5.0
