low,up,y_test
3.8831427,5.0,4.0
2.4182703,4.6071343,3.0
2.5806744,5.0,4.0
2.6357946,4.795103,5.0
3.2004695,4.528891,4.0
2.6485066,5.0,5.0
2.4714715,4.6915174,2.0
2.7669318,5.0,3.0
2.5935476,3.7788427,3.0
2.2960348,5.0,1.0
2.3024805,4.0211773,3.0
3.178093,5.0,5.0
2.8725083,5.0,5.0
2.7264316,5.0,5.0
3.3265748,5.0,5.0
4.0940433,5.0,5.0
3.490706,5.0,3.0
2.4966638,4.9550834,4.0
1.7020376,5.0,5.0
2.2669685,5.0,5.0
3.5761628,5.0,4.0
4.093184,5.0,5.0
3.0886517,5.0,4.0
2.8926125,5.0,5.0
4.148543,5.0,5.0
4.202196,5.0,5.0
3.0750284,5.0,5.0
2.195349,5.0,3.0
2.0017073,5.0,2.0
3.3071973,5.0,4.0
2.421506,5.0,5.0
2.5430968,5.0,3.0
3.2317379,5.0,5.0
3.2330236,5.0,5.0
2.8623712,4.8344855,4.0
2.497143,5.0,4.0
4.284089,5.0,4.0
2.998775,5.0,4.0
2.4154396,3.6478288,4.0
1.947687,3.132207,3.0
2.396079,5.0,4.0
2.2119622,4.850892,5.0
3.9712214,5.0,5.0
3.6102843,5.0,5.0
2.202651,5.0,4.0
2.8312104,5.0,4.0
2.5971293,5.0,4.0
1.9313632,5.0,2.0
3.7873967,5.0,5.0
2.4702952,4.670295,4.0
4.175846,5.0,5.0
2.5871525,4.9523287,5.0
2.8173892,5.0,5.0
2.4173827,5.0,5.0
2.5578372,4.75447,4.0
2.0949225,5.0,2.0
2.9851758,5.0,3.0
3.936633,5.0,5.0
2.451231,5.0,4.0
3.3380027,5.0,5.0
3.768768,5.0,5.0
3.1212778,5.0,4.0
2.6942875,5.0,5.0
3.7828372,5.0,5.0
3.058852,5.0,4.0
3.0031056,5.0,5.0
3.3437438,5.0,5.0
2.1163223,5.0,5.0
3.7334673,5.0,5.0
2.128694,3.9760814,3.0
4.020803,5.0,4.0
3.222231,5.0,5.0
2.6876853,5.0,2.0
3.7120543,5.0,5.0
3.9425788,5.0,5.0
2.4864366,5.0,5.0
