low,up,y_test
1.3838711,5.0,5.0
1.0,4.206029,2.0
1.0,5.0,1.0
1.0,3.796629,5.0
1.2281278,4.99775,5.0
1.0,3.446281,2.0
1.0,4.7660227,2.0
1.3656876,5.0,5.0
1.0,5.0,2.0
1.0,3.0923371,1.0
1.0,5.0,1.0
1.0,5.0,5.0
1.0,3.2397532,2.0
1.0,4.8673096,5.0
1.0,3.7147036,1.0
1.0,3.016532,1.0
1.0,5.0,5.0
1.0,2.806869,5.0
1.0,3.6311212,2.0
1.0,5.0,5.0
1.0,4.974283,1.0
1.3808074,5.0,5.0
1.0,5.0,5.0
1.0,3.6115167,1.0
1.0,3.910821,2.0
1.0,4.3672633,5.0
1.0,4.7781153,2.0
1.0,5.0,5.0
1.0,3.786893,1.0
1.0,3.9129238,5.0
1.0,4.309716,2.0
1.0,3.577292,1.0
1.0,4.1978383,1.0
1.414597,5.0,5.0
1.0,3.4747887,5.0
1.0,5.0,2.0
1.0,5.0,5.0
1.0,5.0,1.0
1.0,2.954826,5.0
1.0,5.0,5.0
1.4074047,5.0,5.0
1.0,3.7081654,5.0
1.2871048,5.0,5.0
1.0,3.5512643,2.0
1.0,3.7339137,2.0
1.367163,5.0,5.0
1.0,5.0,5.0
1.0,4.0860386,5.0
1.0,3.8044748,2.0
1.0,3.120245,5.0
1.0,4.436969,3.0
1.0,5.0,2.0
1.0,5.0,5.0
1.0,3.9549608,5.0
1.0,4.9384303,5.0
1.0,5.0,5.0
1.0,4.0760317,5.0
1.0,5.0,2.0
1.0,5.0,5.0
1.3803225,5.0,5.0
1.0,3.429973,1.0
1.0,5.0,5.0
1.0,5.0,5.0
1.0,4.5115557,2.0
1.0,3.883572,2.0
1.0,5.0,5.0
1.0,3.760525,4.0
1.0,3.9713776,2.0
1.4131184,5.0,5.0
1.0,4.0487356,2.0
1.0,4.85765,5.0
1.0,4.826023,1.0
1.2217314,5.0,2.0
1.0,3.9691415,5.0
1.3679881,5.0,5.0
1.0,5.0,5.0
1.0,5.0,5.0
1.2916262,5.0,5.0
1.0,5.0,5.0
1.0,3.5711613,2.0
1.0,4.819744,2.0
1.374685,5.0,5.0
1.0,5.0,5.0
1.0,5.0,1.0
1.2847924,5.0,5.0
1.0,5.0,4.0
1.2973927,5.0,5.0
1.3939309,5.0,5.0
1.4553182,5.0,5.0
1.0,5.0,1.0
1.0,3.855938,1.0
1.0,4.372341,1.0
1.0,5.0,5.0
1.0,3.3205605,1.0
1.0,4.5253487,5.0
1.0,4.9642773,1.0
1.0,5.0,5.0
1.0,5.0,5.0
1.0,3.1532369,1.0
1.0,3.8848338,2.0
