low,up,y_test
2.951622,5.0,4.0
2.9353018,5.0,5.0
1.7598445,4.493989,3.0
2.9386544,5.0,5.0
1.9094728,5.0,4.0
3.0127583,5.0,5.0
1.9889451,5.0,5.0
1.452695,3.1131673,3.0
1.9204979,4.3541584,4.0
2.1323445,4.960558,5.0
2.1103258,4.7616982,3.0
3.0762486,5.0,5.0
1.5201885,5.0,4.0
2.0466084,5.0,5.0
1.9598323,4.9896317,4.0
2.9925294,5.0,4.0
2.9368253,5.0,4.0
1.7837853,4.9290295,3.0
2.9625788,5.0,5.0
2.9280372,5.0,5.0
1.6683376,5.0,3.0
1.9164097,4.6552033,3.0
3.1763372,5.0,5.0
1.6779648,5.0,5.0
2.9801064,5.0,5.0
2.3397498,4.865488,3.0
2.0050483,5.0,5.0
2.082077,5.0,5.0
2.917251,5.0,5.0
1.9469084,5.0,3.0
2.929864,5.0,5.0
2.2412724,5.0,1.0
2.050993,5.0,3.0
3.0107975,5.0,5.0
1.965207,4.2689366,4.0
2.1090055,5.0,5.0
2.4957395,5.0,5.0
2.998076,5.0,5.0
2.1601925,4.8695517,3.0
2.9660826,5.0,5.0
2.0119658,5.0,2.0
2.0620165,5.0,4.0
2.0957603,4.8959556,4.0
2.1214726,5.0,4.0
3.3982296,5.0,5.0
1.390071,2.781589,5.0
2.1104217,5.0,5.0
3.1636205,5.0,4.0
3.0975509,5.0,5.0
2.8254132,5.0,4.0
2.117669,5.0,5.0
2.9620132,5.0,4.0
3.3690982,5.0,4.0
2.6529474,5.0,4.0
3.1749105,5.0,4.0
2.6728811,5.0,5.0
2.9203959,5.0,5.0
3.3977666,5.0,5.0
2.9445238,5.0,5.0
2.847299,5.0,5.0
1.9456191,4.9052176,2.0
2.2482166,4.90591,4.0
2.0823662,4.8338346,5.0
1.6905007,4.118967,3.0
1.8901871,4.968257,5.0
2.8928957,5.0,3.0
2.136153,5.0,5.0
3.055584,5.0,5.0
2.9341059,5.0,4.0
3.398118,5.0,5.0
1.953251,5.0,5.0
3.724844,5.0,4.0
2.9915228,5.0,3.0
3.1191773,5.0,5.0
3.004074,5.0,4.0
3.046699,5.0,5.0
