low,up,y_test
2.0,5.0,5.0
1.0,4.722679615020752,2.0
1.0,5.0,2.0
2.0,5.0,5.0
1.0,5.0,2.0
2.0,5.0,5.0
2.0251617431640625,5.0,5.0
1.0,5.0,1.0
1.0,5.0,1.0
2.0,5.0,5.0
2.0,5.0,1.0
2.0,5.0,2.0
2.0,5.0,5.0
1.0,5.0,2.0
2.0,5.0,5.0
2.0,5.0,5.0
2.0,5.0,4.0
1.0,3.2460508346557617,2.0
2.0,5.0,5.0
2.0,5.0,5.0
2.0,5.0,5.0
2.0,5.0,5.0
2.0,5.0,5.0
2.0,5.0,5.0
2.0,5.0,5.0
2.0,5.0,5.0
2.0,5.0,2.0
2.0,5.0,5.0
2.0,5.0,5.0
1.0,2.0679893493652344,1.0
2.0,5.0,1.0
2.0,5.0,5.0
2.0,5.0,5.0
2.0,5.0,4.0
1.0,5.0,5.0
2.0,5.0,5.0
2.0,5.0,5.0
2.0,5.0,5.0
2.0,5.0,5.0
2.0,5.0,1.0
2.0,5.0,5.0
1.0,3.246049463748932,1.0
2.0,5.0,2.0
1.0,3.7863301038742065,2.0
1.0,1.9115303754806519,1.0
2.0,5.0,5.0
1.0,2.3005034923553467,2.0
1.0,2.287712335586548,2.0
1.0,5.0,2.0
2.0,5.0,5.0
2.0,5.0,5.0
2.0,5.0,5.0
1.0,5.0,2.0
2.138850212097168,5.0,2.0
2.0,5.0,5.0
2.1274728775024414,5.0,4.0
2.0,5.0,5.0
1.0,5.0,1.0
2.0,5.0,5.0
1.0,5.0,1.0
1.0,3.462098240852356,1.0
2.0,5.0,5.0
2.0,5.0,5.0
2.0,5.0,5.0
2.0,5.0,5.0
2.0,5.0,5.0
1.0,3.3205615282058716,1.0
1.0,3.524531841278076,2.0
1.0,5.0,2.0
1.0,5.0,2.0
2.0,5.0,5.0
2.0,5.0,5.0
1.0,5.0,2.0
1.0,3.24604994058609,1.0
1.0,5.0,5.0
2.0,5.0,5.0
1.0,2.493231177330017,1.0
2.0139660835266113,5.0,5.0
1.0,5.0,2.0
1.0,1.980799376964569,2.0
1.0,5.0,5.0
1.0,2.3599575757980347,2.0
2.0,5.0,5.0
1.0,1.90965735912323,1.0
1.0,5.0,2.0
1.0,2.2022156715393066,5.0
2.0,5.0,5.0
1.0,3.2988100051879883,2.0
1.0,5.0,2.0
1.0,5.0,2.0
2.0,5.0,5.0
2.0,5.0,5.0
2.0,5.0,5.0
1.0,2.468285083770752,2.0
1.0,5.0,2.0
1.0,5.0,2.0
1.0,3.504863739013672,2.0
1.0,2.2769590616226196,1.0
1.0,5.0,5.0
1.0,5.0,5.0
