low,up,y_test
1.0,5.0,2.0
1.0,4.350014805793762,1.0
1.0,5.0,5.0
1.9292240142822266,5.0,1.0
4.231922626495361,5.0,5.0
1.0,5.0,4.0
2.0662965774536133,5.0,2.0
1.0,5.0,2.0
1.0,5.0,2.0
1.9060702323913574,5.0,2.0
1.0,5.0,1.0
1.0,5.0,2.0
3.185089588165283,5.0,5.0
1.6958379745483398,5.0,5.0
4.222573280334473,5.0,5.0
1.0,5.0,5.0
3.231961727142334,5.0,4.0
1.668581485748291,5.0,5.0
1.0,4.125163197517395,5.0
1.0,4.779411792755127,1.0
1.9726881980895996,5.0,5.0
2.0016846656799316,5.0,5.0
1.8576641082763672,5.0,2.0
1.9558334350585938,5.0,5.0
2.1029443740844727,5.0,5.0
4.280794620513916,5.0,2.0
1.0,5.0,1.0
2.188291549682617,5.0,5.0
1.8289084434509277,5.0,5.0
1.0,5.0,2.0
1.0,5.0,5.0
1.0,3.634369969367981,2.0
1.0,5.0,5.0
1.0,5.0,2.0
1.8608670234680176,5.0,5.0
1.0,4.095703363418579,1.0
1.0,5.0,5.0
1.0,5.0,5.0
1.0,5.0,5.0
1.0,5.0,2.0
1.0,2.1531792879104614,2.0
1.0,5.0,5.0
1.0,5.0,5.0
1.7710154056549072,5.0,2.0
2.1812329292297363,5.0,2.0
2.868772029876709,5.0,5.0
1.0,5.0,5.0
1.0,3.1525148153305054,1.0
3.1788902282714844,5.0,5.0
1.0,5.0,1.0
1.9579668045043945,5.0,2.0
1.0,3.0918488800525665,2.0
1.0417828559875488,5.0,5.0
1.0,5.0,1.0
1.0,5.0,5.0
1.0,5.0,1.0
2.1634039878845215,5.0,5.0
1.0,5.0,2.0
2.215576648712158,5.0,5.0
1.0,5.0,2.0
1.0,5.0,5.0
4.171086311340332,5.0,5.0
2.109706401824951,5.0,2.0
1.0,5.0,2.0
1.92289400100708,5.0,5.0
1.0,5.0,2.0
1.0,5.0,2.0
1.1879920959472656,5.0,2.0
3.801140785217285,5.0,1.0
4.2807936668396,5.0,5.0
1.8448843955993652,5.0,5.0
1.0,5.0,1.0
1.0,5.0,2.0
1.0,5.0,2.0
1.0,5.0,2.0
2.868278741836548,5.0,2.0
1.0,3.503676414489746,5.0
2.058553695678711,5.0,5.0
1.0,5.0,1.0
4.280793190002441,5.0,5.0
1.878946304321289,5.0,5.0
1.982583999633789,5.0,5.0
4.2807936668396,5.0,5.0
4.232003688812256,5.0,5.0
1.0,5.0,1.0
4.210591793060303,5.0,5.0
2.1671652793884277,5.0,1.0
1.3454880714416504,5.0,2.0
3.301975965499878,5.0,5.0
1.0,2.9896610975265503,2.0
1.0,3.9207009077072144,1.0
1.0,5.0,1.0
1.0,4.406619071960449,2.0
1.777092456817627,5.0,2.0
1.0,5.0,1.0
2.442938804626465,5.0,5.0
1.0,4.8052098751068115,1.0
1.9881601333618164,5.0,5.0
1.0,5.0,2.0
4.2807936668396,5.0,5.0
