low,up,y_test
3.0,5.0,5.0
1.0000531227977754,5.0,4.0
3.0,4.000026561398888,5.0
3.0,5.0,5.0
3.0,5.0,5.0
3.0,5.0,5.0
3.0,5.0,5.0
3.0,5.0,4.0
1.0000531227977754,5.0,5.0
3.0,5.0,5.0
3.0,5.0,5.0
3.0,5.0,4.0
3.0,5.0,4.0
2.504770949250803,5.0,4.0
3.0,5.0,5.0
3.0,5.0,5.0
3.0,5.0,3.0
1.0000531227977754,5.0,2.0
3.0,5.0,5.0
3.0,5.0,5.0
3.0,5.0,5.0
3.0,5.0,4.0
3.0,5.0,5.0
3.0,5.0,3.0
3.0,5.0,4.0
3.0,5.0,4.0
3.0,5.0,3.0
1.0000531227977754,5.0,3.0
3.0,5.0,5.0
3.0,5.0,5.0
3.0,5.0,3.0
3.0,5.0,4.0
3.0,5.0,4.0
3.0,5.0,5.0
3.0,5.0,4.0
3.0,4.000026561398888,5.0
3.0,5.0,5.0
3.0,5.0,4.0
3.0,5.0,5.0
3.0,5.0,5.0
3.0,5.0,4.0
3.0,5.0,4.0
3.0,5.0,5.0
3.0,5.0,2.0
3.0,5.0,5.0
3.0,5.0,4.0
3.0,5.0,4.0
3.0,5.0,5.0
3.0,5.0,2.0
3.0,5.0,3.0
3.0,5.0,5.0
2.8772621707186525,4.000026561398888,3.0
3.0,5.0,3.0
3.0,5.0,5.0
3.0,4.000026561398888,2.0
3.0,4.000026561398888,3.0
2.504770949250803,5.0,3.0
3.0,5.0,5.0
3.0,4.000026561398888,3.0
3.0,5.0,5.0
3.0,5.0,5.0
3.0,5.0,4.0
1.0000531227977754,5.0,2.0
3.0,5.0,4.0
3.0,5.0,5.0
3.0,4.000026561398888,5.0
3.0,5.0,3.0
3.0,5.0,4.0
3.0,5.0,5.0
2.000026561398887,4.000026561398888,3.0
3.0,5.0,5.0
3.0,5.0,3.0
3.0,5.0,4.0
3.0,5.0,4.0
3.0,5.0,2.0
3.0,5.0,2.0
