y_qlow,y_qup,y_test
4.48,5.0,5.0
3.97,5.0,3.67
4.51,5.0,5.0
4.54,5.0,5.0
3.8,5.0,5.0
4.55,5.0,5.0
4.54,5.0,5.0
4.39,5.0,5.0
3.79,5.0,4.67
4.49,5.0,5.0
4.45,5.0,5.0
4.47,5.0,5.0
4.35,5.0,5.0
4.35,5.0,1.67
4.5,5.0,5.0
4.51,5.0,5.0
4.48,5.0,5.0
1.56,5.0,2.0
4.61,5.0,5.0
1.32,5.0,2.67
4.48,5.0,5.0
4.29,5.0,2.67
4.35,5.0,5.0
1.64,5.0,5.0
4.54,5.0,5.0
4.51,5.0,5.0
4.46,5.0,5.0
4.43,5.0,5.0
4.55,5.0,5.0
1.0,2.69,2.0
3.87,5.0,5.0
4.6,5.0,5.0
4.54,5.0,5.0
4.45,5.0,4.67
4.54,5.0,5.0
4.3,5.0,5.0
4.56,5.0,5.0
1.49,5.0,1.67
4.58,5.0,5.0
4.43,5.0,4.67
4.49,5.0,5.0
4.49,5.0,5.0
4.25,5.0,5.0
4.2,5.0,5.0
4.55,5.0,5.0
4.57,5.0,5.0
4.51,5.0,5.0
4.51,5.0,5.0
4.55,5.0,5.0
1.15,2.76,5.0
1.25,2.85,1.67
4.52,5.0,5.0
4.62,5.0,5.0
1.0,1.54,1.0
4.0,5.0,5.0
1.0,2.69,2.0
4.48,5.0,5.0
4.48,5.0,5.0
1.46,5.0,1.33
4.53,5.0,5.0
3.95,5.0,1.33
4.54,5.0,5.0
4.49,5.0,5.0
4.55,5.0,5.0
3.85,5.0,4.67
4.53,5.0,5.0
4.45,5.0,5.0
4.64,5.0,5.0
4.54,5.0,5.0
4.48,5.0,5.0
4.51,5.0,5.0
4.48,5.0,5.0
4.54,5.0,5.0
1.11,2.84,1.0
4.5,5.0,5.0
4.52,5.0,5.0
4.52,5.0,5.0
4.5,5.0,5.0
3.84,5.0,1.67
1.29,2.85,4.33
4.5,5.0,5.0
4.53,5.0,5.0
4.17,5.0,1.67
4.51,5.0,4.67
4.48,5.0,5.0
1.1,2.78,2.67
4.5,5.0,5.0
4.5,5.0,5.0
4.52,5.0,5.0
4.48,5.0,5.0
2.22,5.0,4.33
4.47,5.0,5.0
4.49,5.0,5.0
4.5,5.0,5.0
4.48,5.0,5.0
4.54,5.0,5.0
4.48,5.0,5.0
4.17,5.0,5.0
4.54,5.0,5.0
1.25,2.95,2.0
4.5,5.0,5.0
4.52,5.0,5.0
4.6,5.0,5.0
4.53,5.0,5.0
1.17,2.85,4.33
4.54,5.0,5.0
4.53,5.0,5.0
4.58,5.0,5.0
4.29,5.0,5.0
4.32,5.0,4.33
4.51,5.0,5.0
4.46,5.0,5.0
4.53,5.0,5.0
4.54,5.0,5.0
4.0,5.0,5.0
4.57,5.0,5.0
4.53,5.0,5.0
4.6,5.0,5.0
1.52,5.0,2.33
4.54,5.0,5.0
4.58,5.0,5.0
4.62,5.0,5.0
1.43,5.0,5.0
4.5,5.0,5.0
4.33,5.0,2.33
4.31,5.0,5.0
4.4,5.0,5.0
3.94,5.0,4.33
4.48,5.0,5.0
4.57,5.0,5.0
4.58,5.0,5.0
4.6,5.0,5.0
4.55,5.0,4.67
4.48,5.0,5.0
4.53,5.0,5.0
4.48,5.0,5.0
4.55,5.0,5.0
4.48,5.0,5.0
4.49,5.0,5.0
4.29,5.0,5.0
4.55,5.0,5.0
4.53,5.0,5.0
1.59,5.0,4.33
4.58,5.0,5.0
4.49,5.0,5.0
4.58,5.0,5.0
4.56,5.0,5.0
4.45,5.0,5.0
4.58,5.0,5.0
4.5,5.0,4.67
3.94,5.0,5.0
4.51,5.0,5.0
4.64,5.0,5.0
3.78,5.0,3.67
4.49,5.0,5.0
4.54,5.0,5.0
4.51,5.0,5.0
4.57,5.0,5.0
4.48,5.0,5.0
4.58,5.0,5.0
4.16,5.0,5.0
4.57,5.0,5.0
1.0,2.71,1.0
4.01,5.0,5.0
4.57,5.0,5.0
4.23,5.0,5.0
4.52,5.0,5.0
4.38,5.0,4.67
4.23,5.0,4.0
4.36,5.0,1.67
4.52,5.0,5.0
4.51,5.0,5.0
4.49,5.0,5.0
4.55,5.0,5.0
4.21,5.0,5.0
4.54,5.0,5.0
4.5,5.0,5.0
4.55,5.0,5.0
4.52,5.0,5.0
4.48,5.0,5.0
4.5,5.0,5.0
4.38,5.0,5.0
4.52,5.0,5.0
4.54,5.0,5.0
4.19,5.0,5.0
4.37,5.0,5.0
4.48,5.0,5.0
4.51,5.0,5.0
4.55,5.0,1.33
4.52,5.0,5.0
4.5,5.0,4.33
4.39,5.0,1.33
4.53,5.0,5.0
4.57,5.0,5.0
4.44,5.0,5.0
4.38,5.0,5.0
4.47,5.0,5.0
4.58,5.0,5.0
1.62,5.0,1.67
4.49,5.0,5.0
4.56,5.0,5.0
4.19,5.0,5.0
1.62,5.0,1.33
4.55,5.0,5.0
4.02,5.0,4.0
4.52,5.0,5.0
4.54,5.0,5.0
4.58,5.0,5.0
4.53,5.0,5.0
4.47,5.0,5.0
3.95,5.0,5.0
4.57,5.0,5.0
4.33,5.0,5.0
1.15,2.8,1.67
4.56,5.0,5.0
2.27,5.0,1.0
4.52,5.0,5.0
4.48,5.0,5.0
4.55,5.0,5.0
4.51,5.0,5.0
4.44,5.0,4.67
4.54,5.0,5.0
4.48,5.0,5.0
4.52,5.0,5.0
3.79,5.0,2.33
4.55,5.0,5.0
4.52,5.0,5.0
4.54,5.0,5.0
4.32,5.0,4.67
4.64,5.0,5.0
4.49,5.0,5.0
4.56,5.0,5.0
4.52,5.0,5.0
4.17,5.0,5.0
4.52,5.0,5.0
4.68,5.0,5.0
4.56,5.0,5.0
3.8,5.0,4.67
4.6,5.0,5.0
4.53,5.0,5.0
4.47,5.0,5.0
4.48,5.0,5.0
4.52,5.0,2.33
4.49,5.0,5.0
4.56,5.0,5.0
4.5,5.0,4.67
4.52,5.0,5.0
4.6,5.0,5.0
1.49,3.0,4.67
1.13,2.79,2.67
4.43,5.0,5.0
4.53,5.0,5.0
4.49,5.0,5.0
4.55,5.0,5.0
4.55,5.0,5.0
4.4,5.0,5.0
4.57,5.0,5.0
4.53,5.0,5.0
1.52,5.0,2.33
4.53,5.0,5.0
4.35,5.0,5.0
4.45,5.0,5.0
4.2,5.0,5.0
4.55,5.0,5.0
4.51,5.0,5.0
4.52,5.0,5.0
4.56,5.0,5.0
4.52,5.0,4.67
4.47,5.0,4.67
4.56,5.0,5.0
4.43,5.0,5.0
4.54,5.0,5.0
4.49,5.0,5.0
4.51,5.0,5.0
4.62,5.0,5.0
4.54,5.0,5.0
4.57,5.0,5.0
4.52,5.0,5.0
4.37,5.0,5.0
4.48,5.0,5.0
2.2,5.0,2.67
4.58,5.0,4.33
4.52,5.0,5.0
4.56,5.0,4.67
4.6,5.0,5.0
4.28,5.0,5.0
4.58,5.0,5.0
1.17,2.8,2.33
4.56,5.0,5.0
4.53,5.0,5.0
4.59,5.0,5.0
4.33,5.0,5.0
4.58,5.0,5.0
1.25,5.0,1.0
4.42,5.0,5.0
4.56,5.0,5.0
4.5,5.0,5.0
4.58,5.0,5.0
4.48,5.0,4.67
4.26,5.0,5.0
4.61,5.0,5.0
4.48,5.0,5.0
4.54,5.0,5.0
4.54,5.0,5.0
4.28,5.0,5.0
4.51,5.0,5.0
1.76,5.0,2.67
4.61,5.0,5.0
4.55,5.0,5.0
4.63,5.0,5.0
4.5,5.0,5.0
4.46,5.0,5.0
1.87,5.0,1.67
4.52,5.0,5.0
4.27,5.0,4.67
4.58,5.0,5.0
4.47,5.0,5.0
4.52,5.0,5.0
3.85,5.0,1.33
4.1,5.0,5.0
4.51,5.0,4.67
4.52,5.0,5.0
4.51,5.0,5.0
4.54,5.0,5.0
4.41,5.0,5.0
